name,test,inaugurals,d-sep,i-sep,saving
Hepar2,"I(Cirrhosis,Steatosis,RHepatitis)",38,86,41,47.67
Hepar2,"I(pain_ruq,urea,fat)",28,157,101,64.33
Hepar2,"I(albumin,pain_ruq,hcv_anti)",35,140,66,47.14
Hepar2,"I(hepatotoxic,alt,hbc_anti)",35,132,79,59.85
Hepar2,"I(cholesterol,pressure_ruq,vh_amn)",42,117,55,47.01
Hepar2,"I(Hyperbilirubinemia,density,edema)",29,168,92,54.76
Hepar2,"I(vh_amn,density,consciousness)",30,146,89,60.96
Hepar2,"I(pressure_ruq,gallstones,spiders)",33,83,41,49.40
Hepar2,"I(choledocholithotomy,transfusion,pain)",48,54,15,27.78
Hepar2,"I(pain_ruq,jaundice,phosphatase)",26,139,92,66.19
Hepar2,"I(PBC,spiders,alcohol)",34,44,10,22.73
Hepar2,"I(choledocholithotomy,ChHepatitis,consciousness)",30,35,24,68.57
Hepar2,"I(triglycerides,hepatomegaly,obesity)",48,93,32,34.41
Hepar2,"I(alt,flatulence,hospital)",36,111,60,54.05
Hepar2,"I(ama,sex,albumin)",34,45,11,24.44
Hepar2,"I(proteins,ggtp,PBC)",31,160,88,55.00
Hepar2,"I(hbeag,gallstones,irregular_liver)",37,66,29,43.94
Hepar2,"I(ast,hospital,ggtp)",30,109,62,56.88
Hepar2,"I(diabetes,encephalopathy,RHepatitis)",30,139,78,56.12
Hepar2,"I(hcv_anti,sex,hepatalgia)",43,71,27,38.03
Hepar2,"I(pain_ruq,consciousness,vh_amn)",28,155,101,65.16
Hepar2,"I(PBC,inr,ESR)",30,158,86,54.43
Hepar2,"I(joints,le_cells,THepatitis)",49,46,14,30.43
Hepar2,"I(joints,RHepatitis,surgery)",50,45,12,26.67
Hepar2,"I(pressure_ruq,cholesterol,hbsag)",41,122,63,51.64
Hepar2,"I(spiders,triglycerides,ESR)",32,118,57,48.31
Hepar2,"I(encephalopathy,consciousness,spiders)",30,145,87,60.00
Hepar2,"I(inr,jaundice,gallstones)",27,151,106,70.20
Hepar2,"I(platelet,hcv_anti,edge)",32,133,71,53.38
Hepar2,"I(vh_amn,Hyperbilirubinemia,ChHepatitis)",49,43,3,6.98
Hepar2,"I(anorexia,THepatitis,age)",52,48,10,20.83
Hepar2,"I(edema,itching,fat)",29,136,91,66.91
Hepar2,"I(fat,alcoholism,alcohol)",38,50,21,42.00
Hepar2,"I(pain_ruq,hepatomegaly,Hyperbilirubinemia)",47,100,38,38.00
Hepar2,"I(consciousness,PBC,hepatotoxic)",30,118,62,52.54
