name,test,inaugurals,d-sep,i-sep,saving
Alarm,"I(PVSAT,HREKG,ERRCAUTER)",11,76,61,80.26
Alarm,"I(BP,VENTLUNG,CVP)",6,71,62,87.32
Alarm,"I(HRBP,CATECHOL,PULMEMBOLUS)",11,9,5,55.56
Alarm,"I(HRBP,MINVOLSET,HYPOVOLEMIA)",11,57,45,78.95
Alarm,"I(MINVOLSET,BP,VENTMACH)",9,91,74,81.32
Alarm,"I(ARTCO2,PRESS,PCWP)",13,43,26,60.47
Alarm,"I(HR,FIO2,ERRCAUTER)",12,57,43,75.44
Alarm,"I(FIO2,INTUBATION,HR)",12,10,5,50.00
Alarm,"I(HRSAT,ANAPHYLAXIS,VENTALV)",11,57,43,75.44
Alarm,"I(SAO2,BP,VENTTUBE)",9,88,76,86.36
Alarm,"I(LVEDVOLUME,HREKG,PVSAT)",8,12,8,66.67
Alarm,"I(HYPOVOLEMIA,HRBP,INSUFFANESTH)",11,7,1,14.29
Alarm,"I(MINVOLSET,CVP,SHUNT)",17,19,2,10.53
Alarm,"I(VENTALV,VENTLUNG,PCWP)",14,37,21,56.76
Alarm,"I(ERRLOWOUTPUT,EXPCO2,SHUNT)",15,2,1,50.00
Alarm,"I(HYPOVOLEMIA,SAO2,CATECHOL)",12,7,1,14.29
Alarm,"I(ERRCAUTER,CATECHOL,HREKG)",11,3,2,66.67
Alarm,"I(VENTALV,PRESS,KINKEDTUBE)",16,40,25,62.50
Alarm,"I(ARTCO2,HYPOVOLEMIA,VENTTUBE)",17,40,18,45.00
Alarm,"I(PRESS,INTUBATION,DISCONNECT)",19,28,12,42.86
Alarm,"I(CVP,LVFAILURE,ERRCAUTER)",18,10,7,70.00
Alarm,"I(ERRLOWOUTPUT,INTUBATION,HR)",12,2,1,50.00
Alarm,"I(HYPOVOLEMIA,BP,ERRCAUTER)",9,84,77,91.67
Alarm,"I(PVSAT,INSUFFANESTH,PRESS)",15,36,22,61.11
Alarm,"I(PRESS,VENTTUBE,LVFAILURE)",19,23,6,26.09
Alarm,"I(VENTALV,SHUNT,ARTCO2)",16,39,22,56.41
Alarm,"I(LVEDVOLUME,HYPOVOLEMIA,SAO2)",11,10,7,70.00
Alarm,"I(MINVOL,PCWP,CVP)",15,34,16,47.06
Alarm,"I(VENTLUNG,PVSAT,VENTTUBE)",16,46,29,63.04
Alarm,"I(MINVOLSET,VENTLUNG,SAO2)",14,30,20,66.67
Alarm,"I(LVFAILURE,TPR,SHUNT)",20,8,2,25.00
Alarm,"I(VENTLUNG,HRBP,BP)",8,78,68,87.18
Alarm,"I(PAP,ERRLOWOUTPUT,KINKEDTUBE)",21,12,3,25.00
Alarm,"I(MINVOLSET,ERRLOWOUTPUT,BP)",9,19,13,68.42
Alarm,"I(HR,HYPOVOLEMIA,MINVOLSET)",12,57,43,75.44
Alarm,"I(ANAPHYLAXIS,HREKG,HR)",11,74,60,81.08
Alarm,"I(PAP,VENTTUBE,TPR)",20,12,3,25.00
Alarm,"I(PRESS,ARTCO2,SAO2)",13,42,32,76.19
Alarm,"I(VENTALV,ARTCO2,TPR)",17,41,25,60.98
Alarm,"I(ARTCO2,MINVOLSET,CVP)",14,38,16,42.11
Alarm,"I(FIO2,HRBP,LVFAILURE)",11,80,65,81.25
Alarm,"I(VENTMACH,SHUNT,CVP)",17,21,3,14.29
Alarm,"I(SAO2,HR,CVP)",9,66,58,87.88
Alarm,"I(HRBP,MINVOLSET,HR)",11,57,45,78.95
Alarm,"I(INTUBATION,VENTALV,CVP)",14,35,19,54.29
Alarm,"I(PRESS,CO,HRBP)",8,91,77,84.62
Alarm,"I(SHUNT,HYPOVOLEMIA,CO)",10,25,16,64.00
Alarm,"I(VENTALV,INTUBATION,SHUNT)",16,32,16,50.00
Alarm,"I(PRESS,MINVOL,VENTLUNG)",17,39,25,64.10
Alarm,"I(FIO2,HRSAT,PAP)",11,80,64,80.00
Alarm,"I(ERRLOWOUTPUT,ANAPHYLAXIS,HREKG)",11,2,1,50.00
Alarm,"I(PCWP,BP,SHUNT)",6,87,76,87.36
Alarm,"I(PAP,VENTMACH,KINKEDTUBE)",21,12,3,25.00
Alarm,"I(VENTMACH,EXPCO2,STROKEVOLUME)",15,44,29,65.91
Alarm,"I(VENTMACH,SHUNT,VENTTUBE)",19,21,5,23.81
Alarm,"I(MINVOL,SHUNT,VENTLUNG)",17,37,19,51.35
Alarm,"I(HYPOVOLEMIA,ARTCO2,EXPCO2)",16,7,1,14.29
Alarm,"I(CVP,HR,VENTTUBE)",9,13,9,69.23
Alarm,"I(INTUBATION,SAO2,ERRLOWOUTPUT)",14,53,38,71.70
Alarm,"I(VENTTUBE,CVP,VENTALV)",14,25,10,40.00
Alarm,"I(ARTCO2,VENTMACH,HRBP)",11,37,22,59.46
Alarm,"I(INTUBATION,PCWP,HYPOVOLEMIA)",18,19,1,5.26
Alarm,"I(INTUBATION,FIO2,HREKG)",11,19,12,63.16
Alarm,"I(DISCONNECT,PCWP,STROKEVOLUME)",17,19,1,5.26
Alarm,"I(PRESS,FIO2,LVEDVOLUME)",16,30,13,43.33
Alarm,"I(BP,VENTMACH,KINKEDTUBE)",9,67,52,77.61
Alarm,"I(CVP,PVSAT,PCWP)",13,13,9,69.23
Alarm,"I(HYPOVOLEMIA,INTUBATION,SHUNT)",20,7,1,14.29
Alarm,"I(ANAPHYLAXIS,INTUBATION,VENTTUBE)",20,10,2,20.00
Alarm,"I(HREKG,DISCONNECT,LVFAILURE)",11,59,46,77.97
Alarm,"I(HRSAT,CVP,VENTMACH)",8,59,45,76.27
Alarm,"I(PVSAT,VENTMACH,CVP)",13,34,17,50.00
Alarm,"I(HREKG,HYPOVOLEMIA,SAO2)",11,59,46,77.97
Alarm,"I(HRSAT,CATECHOL,EXPCO2)",10,9,5,55.56
Alarm,"I(EXPCO2,VENTALV,PULMEMBOLUS)",16,41,27,65.85
Alarm,"I(BP,SHUNT,HYPOVOLEMIA)",9,73,58,79.45
Alarm,"I(VENTALV,ARTCO2,VENTTUBE)",17,41,25,60.98
Alarm,"I(MINVOL,CO,PRESS)",8,88,74,84.09
Alarm,"I(TPR,MINVOL,HREKG)",10,12,7,58.33
Alarm,"I(DISCONNECT,PVSAT,VENTALV)",16,45,30,66.67
Alarm,"I(HISTORY,STROKEVOLUME,TPR)",20,11,7,63.64
Alarm,"I(ANAPHYLAXIS,HR,SAO2)",12,64,54,84.38
Alarm,"I(PULMEMBOLUS,LVEDVOLUME,ERRCAUTER)",18,11,2,18.18
Alarm,"I(DISCONNECT,MINVOLSET,STROKEVOLUME)",20,19,1,5.26
Alarm,"I(LVFAILURE,VENTALV,KINKEDTUBE)",17,8,2,25.00
Alarm,"I(PCWP,TPR,CO)",7,13,12,92.31
Alarm,"I(PVSAT,INSUFFANESTH,PULMEMBOLUS)",16,36,20,55.56
