name,test,inaugurals,d-sep,i-sep,saving
Andes,"I(VECTOR69,SNode_86,GOAL_150)",34,16,13,81.25
Andes,"I(SNode_117,IDENTIFY10,GOAL_142)",53,405,303,74.81
Andes,"I(TRY76,VALUE3,SNode_91)",75,4,1,25.00
Andes,"I(VECTOR27,SNode_93,SNode_64)",75,408,286,70.10
Andes,"I(SNode_70,SNode_119,NORMAL52)",60,487,376,77.21
Andes,"I(SLIDING4,DISPLACEM0,GOAL_109)",67,79,11,13.92
Andes,"I(GOAL_79,SNode_123,GOAL_130)",59,469,359,76.55
Andes,"I(BUGGY54,GOAL_80,KINEMATI17)",106,13,5,38.46
Andes,"I(GOAL_142,GOAL_50,SNode_52)",55,429,334,77.86
Andes,"I(TRY14,RApp13,KINE29)",54,507,408,80.47
Andes,"I(SNode_11,KINEMATI17,SNode_54)",117,119,1,0.84
Andes,"I(KINEMATI17,SUM75,GOAL_108)",67,144,53,36.81
Andes,"I(SNode_21,SNode_42,NULL48)",118,90,9,10.00
Andes,"I(SNode_27,SNode_106,EQUATION28)",70,435,312,71.72
Andes,"I(IDENTIFY41,RApp7,GOAL_53)",66,458,343,74.89
Andes,"I(GOAL_80,SNode_112,KNOWN8)",63,453,342,75.50
Andes,"I(SNode_59,SNode_73,SNode_17)",108,256,103,40.23
Andes,"I(RESOLVE38,NEED67,GOAL_153)",66,107,26,24.30
Andes,"I(TRY76,SNode_59,SNode_12)",116,4,1,25.00
Andes,"I(SNode_128,GOAL_48,SNode_71)",62,415,294,70.84
Andes,"I(RApp7,IDENTIFY55,RESOLVE38)",66,391,281,71.87
Andes,"I(VECTOR69,TRY26,SNode_7)",124,16,1,6.25
Andes,"I(SNode_122,GOAL_114,SNode_13)",63,460,356,77.39
Andes,"I(SNode_117,EQUATION28,WRITE30)",64,402,295,73.38
Andes,"I(GOAL72,MAXIMIZE34,RApp1)",123,11,1,9.09
Andes,"I(IDENTIFY43,SNode_93,SNode_86)",75,410,301,73.41
Andes,"I(RESOLVE37,SNode_51,SNode_132)",61,110,34,30.91
Andes,"I(RESOLVE42,SNode_31,TRY12)",110,114,1,0.88
Andes,"I(SNode_34,MAXIMIZE34,TRY24)",123,138,4,2.90
Andes,"I(SNode_12,SNode_13,SNode_137)",62,8,1,12.50
Andes,"I(SNode_60,IDENTIFY41,IDENTIFY59)",115,184,47,25.54
Andes,"I(SNode_34,RApp12,SNode_73)",54,517,408,78.92
Andes,"I(GIVEN_1,IDENTIFY9,GOAL_130)",65,109,31,28.44
Andes,"I(RApp6,SNode_128,SNode_154)",60,468,351,75.00
Andes,"I(SNode_31,IDENTIFY41,GOAL_150)",32,223,177,79.37
Andes,"I(SNode_73,GOAL66,SNode_119)",60,237,148,62.45
Andes,"I(SNode_54,SNode_116,IDENTIFY55)",61,474,364,76.79
Andes,"I(SNode_64,GOAL_81,SNode_28)",83,336,231,68.75
Andes,"I(GOAL_109,SNode_43,GOAL_114)",65,392,289,73.72
Andes,"I(SNode_71,GOAL_103,HORIZ53)",71,438,318,72.60
Andes,"I(KINE29,WEIGHT56,GOAL_50)",121,106,1,0.94
Andes,"I(SNode_115,SNode_46,SNode_119)",56,435,332,76.32
Andes,"I(SNode_34,AXIS33,RApp8)",65,138,52,37.68
Andes,"I(INCLINE51,AXIS33,GIVEN21)",124,13,5,38.46
Andes,"I(GOAL_63,COMPO16,SNode_124)",58,239,157,65.69
Andes,"I(SNode_73,GOAL_79,WRITE63)",87,351,219,62.39
Andes,"I(KNOWN6,SNode_42,VECTOR69)",120,150,27,18.00
Andes,"I(EQUAL71,GOAL_143,GOAL_109)",55,2,1,50.00
Andes,"I(SNode_60,GOAL_53,IDENTIFY55)",114,188,60,31.91
Andes,"I(GOAL_99,GOAL_56,SNode_132)",59,349,251,71.92
Andes,"I(RApp10,RApp7,VECTOR44)",63,473,343,72.52
Andes,"I(SNode_124,GOAL_110,RApp8)",57,475,381,80.21
Andes,"I(GOAL_83,MAXIMIZE34,IDENTIFY10)",82,325,210,64.62
Andes,"I(RApp12,SLIDING4,SNode_75)",54,435,338,77.70
Andes,"I(VECTOR73,GOAL_57,SNode_134)",61,3,2,66.67
Andes,"I(SNode_51,GOAL_84,NEED36)",81,374,253,67.65
Andes,"I(SNode_40,GOAL_127,SNode_29)",61,478,353,73.85
Andes,"I(GOAL_127,GOAL65,INCLINE51)",66,391,288,73.66
Andes,"I(SNode_37,SNode_51,NEWTONS45)",77,349,230,65.90
Andes,"I(SNode_106,GOAL_49,RApp12)",54,374,295,78.88
Andes,"I(GOAL_69,SNode_91,SNode_40)",71,425,311,73.18
Andes,"I(CONSTANT5,GOAL_143,RApp2)",55,501,412,82.24
