name,test,inaugurals,d-sep,i-sep,saving
Andes,"I(GIVEN21,SNode_25,SNode_26)",122,75,1,1.33
Andes,"I(SNode_155,VECTOR44,STRAT_90)",60,415,320,77.11
Andes,"I(INCLINE51,GOAL_142,SNode_137)",49,13,5,38.46
Andes,"I(SNode_47,TRY76,SNode_15)",123,130,5,3.85
Andes,"I(SNode_95,SNode_132,NULL48)",61,476,379,79.62
Andes,"I(GOAL_61,VECTOR27,GOAL_62)",113,199,56,28.14
Andes,"I(NORMAL52,SNode_123,SNode_59)",62,11,4,36.36
Andes,"I(GOAL_113,GOAL_81,SNode_21)",63,442,323,73.08
Andes,"I(GOAL_72,GOAL_111,GOAL_104)",66,462,342,74.03
Andes,"I(STRAT_90,GOAL_146,VELOCITY7)",55,8,1,12.50
Andes,"I(NEWTONS74,GOAL_149,GOAL_53)",38,3,1,33.33
Andes,"I(GOAL_87,VECTOR27,SLIDING4)",78,339,223,65.78
Andes,"I(GOAL_127,SNode_122,EQUATION28)",63,472,346,73.31
Andes,"I(GRAV78,GOAL_83,SNode_47)",82,2,1,50.00
Andes,"I(GOAL_57,SNode_102,RESOLVE42)",73,413,306,74.09
Andes,"I(SNode_135,IDENTIFY41,SNode_67)",61,420,313,74.52
Andes,"I(SNode_42,SNode_133,SNode_51)",64,472,362,76.69
Andes,"I(IDENTIFY59,SNode_67,SNode_120)",61,4,1,25.00
Andes,"I(GOAL_107,GOAL_98,NEED36)",67,423,314,74.23
Andes,"I(SNode_119,SNode_135,GOAL_126)",54,507,416,82.05
Andes,"I(WRITE31,TRY13,DEFINE23)",124,128,1,0.78
Andes,"I(SNode_119,KINE29,TRY14)",60,422,311,73.70
Andes,"I(GOAL_107,SNode_132,GOAL_56)",61,457,368,80.53
Andes,"I(SNode_8,GOAL_150,WRITE63)",34,568,493,86.80
Andes,"I(SNode_17,GOAL_48,RESOLVE42)",123,144,1,0.69
Andes,"I(WEIGHT57,SNode_55,HORIZ53)",116,16,1,6.25
Andes,"I(SNode_91,SNode_40,IDENTIFY10)",71,440,312,70.91
Andes,"I(SNode_3,VECTOR69,NULL48)",124,128,1,0.78
Andes,"I(GOAL68,SNode_41,IDENTIFY9)",123,32,1,3.13
Andes,"I(RApp10,KINE29,SNode_88)",65,407,299,73.46
Andes,"I(GIVEN21,SNode_25,MAXIMIZE34)",123,75,1,1.33
Andes,"I(SNode_155,VECTOR69,SNode_40)",57,415,313,75.42
Andes,"I(SNode_71,RESOLVE37,GOAL_87)",77,225,115,51.11
Andes,"I(SNode_92,TRY11,GOAL_53)",117,18,10,55.56
Andes,"I(VELOCITY7,INCLINE51,GRAV2)",124,118,1,0.85
Andes,"I(COMPO16,RApp10,SNode_12)",65,451,337,74.72
Andes,"I(IDENTIFY41,SNode_26,IDENTIFY39)",123,111,1,0.90
Andes,"I(SNode_42,VECTOR44,SNode_102)",73,153,54,35.29
Andes,"I(SNode_15,CHOOSE62,SNode_133)",64,81,14,17.28
Andes,"I(SNode_132,GOAL_126,GOAL_113)",58,455,380,83.52
Andes,"I(GOAL_143,GRAV2,RApp6)",55,421,338,80.29
Andes,"I(SNode_29,SNode_75,SNode_6)",100,294,147,50.00
Andes,"I(EQUATION28,NEWTONS74,SNode_3)",124,110,1,0.91
Andes,"I(GOAL_61,SNode_34,SNode_128)",63,199,105,52.76
Andes,"I(WRITE30,SNode_133,NEWTONS45)",64,457,350,76.59
Andes,"I(GOAL_79,SNode_92,GOAL_53)",86,308,165,53.57
Andes,"I(SNode_29,NEED36,SNode_68)",97,222,85,38.29
Andes,"I(SNode_26,GOAL_2,SNode_59)",115,140,4,2.86
Andes,"I(RESOLVE42,SNode_136,DISPLACEM0)",57,489,378,77.30
Andes,"I(VECTOR73,SNode_64,SNode_40)",75,3,1,33.33
Andes,"I(WEIGHT57,RApp5,RApp9)",66,16,1,6.25
Andes,"I(SNode_136,GOAL_130,IDENTIFY22)",55,476,406,85.29
Andes,"I(GOAL_114,GOAL_84,GIVEN_1)",65,424,311,73.35
Andes,"I(GOAL_48,BUGGY54,IDENTIFY59)",123,156,5,3.21
Andes,"I(SNode_12,SNode_7,SNode_27)",119,8,1,12.50
