name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(R_APB_QUAL_MUPAMP,L_SUR_CV_CA,DIFFN_SEV)",,847,172,20.31,0.27474498748779297,0.19294285774230957
Munin,"I(L_APB_SF_DENSITY,R_ULND5_DIFSLOW_WD,R_LNLE_ULND5_DIFSLOW)",,819,79,9.65,0.25231289863586426,0.14492297172546387
Munin,"I(R_APB_DENERV,R_LNLE_ULND5_DIFSLOW,L_APB_MULOSS)",,796,114,14.32,0.24786591529846191,0.15280413627624512
Munin,"I(R_AXIL_DCV,DIFFN_S_SEV_DIST,L_MYOP_MYDY_ADM_DE_REGEN)",,714,42,5.88,0.22412991523742676,0.06915879249572754
Munin,"I(L_MYAS_DELT_MUDENS,R_LNLT1_LP_APB_NEUR_ACT,R_APB_MUPINSTAB)",,5,1,20.00,0.0032410621643066406,0.023005962371826172
Munin,"I(R_MUSCLE_ADM_MUSIZE,L_APB_SPONT_NEUR_DISCH,R_APB_NMT)",,26,8,30.77,0.01682114601135254,0.023244857788085938
Munin,"I(R_ULND5_DISP_EWD,R_LNLW_ADM_MALOSS,L_OTHER_ADM_MUDENS)",,722,26,3.60,0.21500611305236816,0.06322598457336426
Munin,"I(L_LNLLP_ULND5_SALOSS,L_LNLE_ULND5_BLOCK_E,DIFFN_TYPE)",,16,1,6.25,0.007128000259399414,0.002817869186401367
Munin,"I(R_ULND5_CV_WD,L_DIFFN_ADM_MUDENS,R_ULND5_DISP_EWD)",,781,84,10.76,0.2475881576538086,0.1479499340057373
Munin,"I(L_LNLBE_APB_MALOSS,L_ULN_RDLDDEL,R_LNLW_ADM_NEUR_ACT)",,16,1,6.25,0.007148027420043945,0.0027670860290527344
Munin,"I(L_DIFFN_ADM_DE_REGEN,L_LNLLP_ADM_DE_REGEN,L_ADM_MUSCLE_VOL)",,713,24,3.37,0.2123429775238037,0.0871281623840332
Munin,"I(R_LNL_DIFFN_APB_MUSIZE,L_LNLLP_E_ULND5_SALOSS,R_DIFFN_LNLW_APB_DE_REGEN)",,746,39,5.23,0.2298738956451416,0.10398006439208984
Munin,"I(L_ULND5_ALLAMP_WD,R_SUR_CV_CA,R_OTHER_ULND5_DISP)",,840,122,14.52,0.26038694381713867,0.12761616706848145
Munin,"I(L_ADM_MUSIZE,R_ULN_DCV_EW,R_LNLBE_APB_DENERV)",,850,104,12.24,0.27068281173706055,0.15066885948181152
Munin,"I(R_DIFFN_LNLW_APB_MUDENS,R_DELT_QUAL_MUPPOLY,R_DIFFN_ULN_DIFSLOW)",,833,144,17.29,0.27916407585144043,0.18699407577514648
Munin,"I(L_LNLLP_APB_DENERV,L_MEDD2_LD_EW,L_DELT_MALOSS)",,8,1,12.50,0.003946781158447266,0.0066471099853515625
Munin,"I(R_LNLT1_APB_NEUR_ACT,R_MYOP_APB_DE_REGEN,R_APB_MUPSATEL)",,5,1,20.00,0.0024471282958984375,0.010566949844360352
Munin,"I(L_ADM_MUPDUR,L_LNLW_ADM_MUSIZE,R_DIFFN_MEDD2_DISP)",,820,130,15.85,0.2561609745025635,0.16816115379333496
Munin,"I(L_OTHER_ADM_MALOSS,R_MYOP_MYDY_DELT_DENERV,R_MED_RDLDCV_EW)",,18,1,5.56,0.008276939392089844,0.0036330223083496094
Munin,"I(L_DIFFN_ISCH_DIFSLOW,R_APB_MUSCLE_VOL,R_LNLLP_ADM_DE_REGEN)",,811,104,12.82,0.26651787757873535,0.14757895469665527
Munin,"I(R_AXIL_DEL,R_ULND5_LD_E,L_MYDY_APB_DE_REGEN)",,746,43,5.76,0.2238471508026123,0.07074308395385742
Munin,"I(L_LNLW_ADM_MUDENS,L_LNLW_APB_DE_REGEN,L_DIFFN_MEDD2_BLOCK)",,5,1,20.00,0.0035369396209716797,0.005589008331298828
Munin,"I(L_LNLT1_LP_APB_MALOSS,R_ULND5_ALLCV_E,R_APB_MUPAMP)",,20,4,20.00,0.022291898727416992,0.038519859313964844
Munin,"I(L_DIFFN_LNLW_ULN_BLOCK_WA,R_LNLT1_LP_APB_MALOSS,L_DIFFN_AXIL_BLOCK)",,715,23,3.22,0.21335506439208984,0.07096099853515625
Munin,"I(L_LNLW_APB_DE_REGEN,R_ADM_MUDENS,R_ADM_SPONT_NEUR_DISCH)",,100,8,8.00,0.04453706741333008,0.03489494323730469
Munin,"I(R_LNLLP_ADM_DE_REGEN,L_MED_CV_EW,R_MEDD2_BLOCK_EW)",,37,1,2.70,0.024303913116455078,0.01720404624938965
Munin,"I(L_ULND5_AMPR_EW,L_DIFFN_ISCH_BLOCK,R_OTHER_DELT_DE_REGEN)",,732,44,6.01,0.22744297981262207,0.07385587692260742
Munin,"I(L_SUR_ALLCV_CA,L_APB_MALOSS,L_ULND5_RD_E)",,788,86,10.91,0.24472498893737793,0.13111615180969238
