name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Alarm,"I(CVP,PCWP,PAP)",,16,13,81.25,0.0007271766662597656,0.0009539127349853516
Alarm,"I(LVEDVOLUME,PULMEMBOLUS,VENTMACH)",,12,9,75.00,0.0005011558532714844,0.0009648799896240234
Alarm,"I(ERRLOWOUTPUT,INSUFFANESTH,BP)",,2,1,50.00,0.0001380443572998047,0.0015871524810791016
Alarm,"I(MINVOL,HRBP,CATECHOL)",,78,64,82.05,0.0032219886779785156,0.004289150238037109
Alarm,"I(HYPOVOLEMIA,DISCONNECT,TPR)",,7,1,14.29,0.0003669261932373047,0.00019598007202148438
Alarm,"I(INSUFFANESTH,HRBP,DISCONNECT)",,74,59,79.73,0.0026009082794189453,0.002995014190673828
Alarm,"I(PVSAT,TPR,SHUNT)",,39,23,58.97,0.0011341571807861328,0.0014050006866455078
Alarm,"I(VENTLUNG,VENTALV,HYPOVOLEMIA)",,36,21,58.33,0.0011849403381347656,0.001283884048461914
Alarm,"I(HISTORY,CATECHOL,TPR)",,9,3,33.33,0.000888824462890625,0.0015370845794677734
Alarm,"I(HRSAT,PVSAT,CO)",,64,51,79.69,0.001940011978149414,0.003180980682373047
Alarm,"I(MINVOLSET,SAO2,LVEDVOLUME)",,53,40,75.47,0.0018529891967773438,0.0018508434295654297
Alarm,"I(KINKEDTUBE,SAO2,CVP)",,55,41,74.55,0.0018131732940673828,0.0019259452819824219
Alarm,"I(TPR,HREKG,CO)",,75,61,81.33,0.0027840137481689453,0.0037059783935546875
Alarm,"I(MINVOLSET,SAO2,INTUBATION)",,53,40,75.47,0.0017821788787841797,0.0019137859344482422
Alarm,"I(KINKEDTUBE,HRBP,PULMEMBOLUS)",,81,65,80.25,0.0026519298553466797,0.003041982650756836
Alarm,"I(CVP,SHUNT,PCWP)",,13,10,76.92,0.0006048679351806641,0.0005979537963867188
Alarm,"I(MINVOL,VENTALV,BP)",,35,28,80.00,0.0011649131774902344,0.0025129318237304688
Alarm,"I(PAP,PCWP,CO)",,12,8,66.67,0.0005118846893310547,0.0013780593872070312
Alarm,"I(CVP,HISTORY,HR)",,14,11,78.57,0.0004398822784423828,0.0016541481018066406
Alarm,"I(MINVOL,HRBP,VENTALV)",,78,64,82.05,0.003985881805419922,0.004220008850097656
Alarm,"I(HRBP,ERRCAUTER,HRSAT)",,60,47,78.33,0.002000093460083008,0.0029730796813964844
Alarm,"I(INSUFFANESTH,ANAPHYLAXIS,LVFAILURE)",,8,1,12.50,0.00041604042053222656,0.00014901161193847656
Alarm,"I(FIO2,INSUFFANESTH,VENTALV)",,10,1,10.00,0.0003170967102050781,0.00037598609924316406
Alarm,"I(PCWP,PULMEMBOLUS,SHUNT)",,13,10,76.92,0.00040793418884277344,0.0006830692291259766
Alarm,"I(VENTLUNG,PRESS,LVFAILURE)",,37,20,54.05,0.001116037368774414,0.0012619495391845703
Alarm,"I(VENTLUNG,LVEDVOLUME,ARTCO2)",,31,15,48.39,0.0009250640869140625,0.0012979507446289062
Alarm,"I(PCWP,ANAPHYLAXIS,HR)",,13,10,76.92,0.0004191398620605469,0.001138925552368164
Alarm,"I(HRBP,VENTMACH,PULMEMBOLUS)",,57,42,73.68,0.0016331672668457031,0.002716064453125
Alarm,"I(SAO2,SHUNT,VENTMACH)",,44,30,68.18,0.0014088153839111328,0.0018191337585449219
Alarm,"I(VENTALV,MINVOL,SHUNT)",,39,25,64.10,0.001363992691040039,0.0015430450439453125
Alarm,"I(MINVOLSET,HISTORY,HREKG)",,19,11,57.89,0.0005841255187988281,0.001558065414428711
Alarm,"I(SHUNT,CO,PVSAT)",,89,70,78.65,0.0029158592224121094,0.003693103790283203
Alarm,"I(ERRLOWOUTPUT,MINVOLSET,INSUFFANESTH)",,2,1,50.00,0.00011205673217773438,0.0001728534698486328
Alarm,"I(VENTALV,LVEDVOLUME,ANAPHYLAXIS)",,35,18,51.43,0.0009961128234863281,0.0015139579772949219
Alarm,"I(LVFAILURE,DISCONNECT,LVEDVOLUME)",,8,5,62.50,0.00030994415283203125,0.00043010711669921875
Alarm,"I(CVP,PULMEMBOLUS,MINVOL)",,13,10,76.92,0.0004088878631591797,0.0008511543273925781
Alarm,"I(PULMEMBOLUS,HISTORY,ANAPHYLAXIS)",,11,2,18.18,0.000370025634765625,0.00038814544677734375
Alarm,"I(EXPCO2,INTUBATION,VENTALV)",,35,21,60.00,0.0009520053863525391,0.0013670921325683594
Alarm,"I(HREKG,ERRCAUTER,VENTTUBE)",,60,45,75.00,0.0017228126525878906,0.002763986587524414
Alarm,"I(CATECHOL,HREKG,VENTTUBE)",,73,58,79.45,0.0025599002838134766,0.004189014434814453
Alarm,"I(CO,INSUFFANESTH,ARTCO2)",,68,49,72.06,0.0019268989562988281,0.003668069839477539
Alarm,"I(CVP,VENTALV,ERRCAUTER)",,13,10,76.92,0.00080108642578125,0.0008711814880371094
Alarm,"I(TPR,FIO2,HR)",,13,6,46.15,0.00036597251892089844,0.0012481212615966797
Alarm,"I(VENTMACH,VENTLUNG,HREKG)",,32,24,75.00,0.0012009143829345703,0.0019690990447998047
Alarm,"I(PVSAT,STROKEVOLUME,LVEDVOLUME)",,39,22,56.41,0.0012161731719970703,0.0015099048614501953
Alarm,"I(MINVOLSET,PCWP,EXPCO2)",,19,8,42.11,0.0006580352783203125,0.0008900165557861328
Alarm,"I(INSUFFANESTH,TPR,HRBP)",,8,4,50.00,0.00034809112548828125,0.0010831356048583984
Alarm,"I(ERRCAUTER,VENTLUNG,TPR)",,3,1,33.33,0.0003619194030761719,0.0003750324249267578
Alarm,"I(VENTMACH,DISCONNECT,HRBP)",,21,13,61.90,0.0007121562957763672,0.0014679431915283203
Alarm,"I(BP,MINVOLSET,TPR)",,67,51,76.12,0.002032041549682617,0.01157999038696289
Alarm,"I(PVSAT,LVEDVOLUME,PRESS)",,39,25,64.10,0.001096963882446289,0.0017180442810058594
Alarm,"I(PULMEMBOLUS,INTUBATION,TPR)",,11,2,18.18,0.0003509521484375,0.00023508071899414062
Alarm,"I(CVP,ERRLOWOUTPUT,HRSAT)",,13,10,76.92,0.0005979537963867188,0.0013790130615234375
Alarm,"I(HRSAT,PULMEMBOLUS,ERRLOWOUTPUT)",,59,44,74.58,0.0015518665313720703,0.002852201461791992
Alarm,"I(DISCONNECT,INTUBATION,LVFAILURE)",,18,1,5.56,0.0005290508270263672,0.00013709068298339844
Alarm,"I(STROKEVOLUME,VENTTUBE,HRBP)",,11,5,45.45,0.00042700767517089844,0.0013229846954345703
Alarm,"I(ERRCAUTER,HREKG,VENTMACH)",,75,59,78.67,0.002866029739379883,0.003284931182861328
Alarm,"I(EXPCO2,VENTMACH,SAO2)",,33,21,63.64,0.0009579658508300781,0.0016171932220458984
Alarm,"I(BP,FIO2,SAO2)",,69,53,76.81,0.0020618438720703125,0.0033822059631347656
Alarm,"I(ERRLOWOUTPUT,CO,VENTMACH)",,2,1,50.00,0.0008389949798583984,0.0009980201721191406
Alarm,"I(HR,SAO2,ERRLOWOUTPUT)",,67,50,74.63,0.0020208358764648438,0.0031881332397460938
Alarm,"I(ARTCO2,PCWP,VENTALV)",,38,19,50.00,0.0012230873107910156,0.0013430118560791016
Alarm,"I(SHUNT,PCWP,PRESS)",,25,6,24.00,0.0007660388946533203,0.0009829998016357422
