name,test,inaugurals,d-sep,i-sep,saving,dSepTime,iSepTime
Andes,"I(SNode_65,EQUAL71,GOAL_146)",,244,169,69.26,0.02254009246826172,0.08890700340270996
Andes,"I(KINEMATI17,MAXIMIZE34,SNode_21)",,135,1,0.74,0.010537862777709961,0.0009291172027587891
Andes,"I(TRY13,GRAV2,SNode_115)",,145,63,43.45,0.011667013168334961,0.030791044235229492
Andes,"I(RApp2,SNode_41,SNode_16)",,110,3,2.73,0.009032964706420898,0.0011949539184570312
Andes,"I(SNode_67,GOAL_108,WRITE30)",,422,323,76.54,0.06122994422912598,0.07594513893127441
Andes,"I(SNode_47,SNode_152,NULL48)",,449,332,73.94,0.0689399242401123,0.06854009628295898
Andes,"I(GOAL_63,KINE29,SNode_123)",,219,144,65.75,0.021242141723632812,0.07529592514038086
Andes,"I(SNode_128,NEED67,SNode_59)",,385,276,71.69,0.036058902740478516,0.09898591041564941
Andes,"I(IDENTIFY59,SNode_93,GOAL_149)",,4,1,25.00,0.035556793212890625,0.11075496673583984
Andes,"I(SNode_25,IDENTIFY55,KINEMATI17)",,75,4,5.33,0.00632476806640625,0.0013201236724853516
Andes,"I(SYSTEM18,SNode_116,GOAL_108)",,478,377,78.87,0.06729412078857422,0.08951687812805176
Andes,"I(SNode_112,GOAL_121,GOAL_66)",,459,352,76.69,0.06435608863830566,0.11060905456542969
Andes,"I(IDENTIFY22,GOAL_153,TRY11)",,8,1,12.50,0.02245497703552246,0.022686004638671875
Andes,"I(RESOLVE38,IDENTIFY41,CHOOSE47)",,102,1,0.98,0.00818490982055664,0.0005490779876708984
Andes,"I(SNode_152,APPLY61,SNode_9)",,358,248,69.27,0.03500008583068848,0.06319904327392578
Andes,"I(KNOWN8,SNode_100,NEED1)",,404,281,69.55,0.07423996925354004,0.06826305389404297
Andes,"I(SNode_131,SNode_34,SNode_68)",,396,278,70.20,0.03715801239013672,0.0748448371887207
Andes,"I(SNode_71,SNode_132,IDENTIFY41)",,463,363,78.40,0.06733894348144531,0.07975101470947266
Andes,"I(GOAL_110,SNode_13,RApp8)",,372,265,71.24,0.03578805923461914,0.06431698799133301
Andes,"I(NEWTONS74,GOAL_121,SNode_132)",,3,1,33.33,0.03136897087097168,0.04917407035827637
Andes,"I(SNode_119,NEED67,EQUAL71)",,403,293,72.70,0.03913998603820801,0.0973358154296875
Andes,"I(SNode_156,VAR20,GOAL_150)",,311,258,82.96,0.030013084411621094,0.06948685646057129
Andes,"I(SNode_46,SNode_86,VELOCITY7)",,396,271,68.43,0.05265307426452637,0.054141998291015625
Andes,"I(FIND58,SNode_42,GOAL_66)",,2,1,50.00,0.0014221668243408203,0.008269071578979492
Andes,"I(COMPO16,FORCE60,SNode_123)",,145,65,44.83,0.010994911193847656,0.06081700325012207
Andes,"I(NEED1,GOAL_130,GOAL_83)",,6,1,16.67,0.022639989852905273,0.039974212646484375
Andes,"I(NEWTONS45,GOAL_79,SNode_106)",,89,9,10.11,0.026308059692382812,0.05141186714172363
Andes,"I(IDENTIFY43,IDENTIFY22,GOAL_49)",,105,1,0.95,0.008552074432373047,0.0012509822845458984
