name,test,d-sep,i-sep,saving,dSepTime,iSepTime
Hepar2,"I(spleen,encephalopathy,Hyperbilirubinemia)",151,89,58.94,0.0072100162506103516,0.013469934463500977
Hepar2,"I(RHepatitis,ESR,hbsag)",25,3,12.00,0.001741170883178711,0.002476930618286133
Hepar2,"I(alt,hepatalgia,transfusion)",137,75,54.74,0.005844831466674805,0.011451005935668945
Hepar2,"I(cholesterol,THepatitis,spiders)",120,59,49.17,0.006470918655395508,0.010682106018066406
Hepar2,"I(obesity,density,choledocholithotomy)",155,90,58.06,0.006120920181274414,0.009833812713623047
Hepar2,"I(fat,cholesterol,Cirrhosis)",135,69,51.11,0.005524873733520508,0.00888204574584961
Hepar2,"I(fat,ast,ascites)",126,67,53.17,0.0065419673919677734,0.0110931396484375
Hepar2,"I(pain_ruq,surgery,anorexia)",69,18,26.09,0.0029420852661132812,0.003216981887817383
Hepar2,"I(anorexia,hcv_anti,bleeding)",60,27,45.00,0.002719879150390625,0.0059812068939208984
Hepar2,"I(density,ama,injections)",135,74,54.81,0.005020856857299805,0.009552955627441406
Hepar2,"I(ast,obesity,itching)",100,56,56.00,0.004165172576904297,0.009685039520263672
Hepar2,"I(gallstones,density,ama)",166,90,54.22,0.0061359405517578125,0.011880874633789062
Hepar2,"I(density,hbc_anti,hepatalgia)",140,86,61.43,0.006766080856323242,0.010956048965454102
Hepar2,"I(alcohol,irregular_liver,palms)",125,66,52.80,0.005099058151245117,0.007768869400024414
Hepar2,"I(pain,Cirrhosis,age)",44,15,34.09,0.0023729801177978516,0.0028221607208251953
Hepar2,"I(alcoholism,carcinoma,ama)",157,82,52.23,0.005880117416381836,0.009315013885498047
Hepar2,"I(transfusion,spleen,flatulence)",143,75,52.45,0.00560307502746582,0.02001786231994629
Hepar2,"I(density,transfusion,hbsag_anti)",138,79,57.25,0.00503087043762207,0.010102987289428711
Hepar2,"I(hcv_anti,amylase,injections)",67,25,37.31,0.0029611587524414062,0.003894805908203125
Hepar2,"I(encephalopathy,PBC,hbc_anti)",115,63,54.78,0.004378080368041992,0.008291006088256836
Hepar2,"I(le_cells,obesity,proteins)",42,11,26.19,0.0018248558044433594,0.0025739669799804688
Hepar2,"I(ama,proteins,carcinoma)",42,13,30.95,0.0024750232696533203,0.003267049789428711
Hepar2,"I(hbsag_anti,sex,flatulence)",68,27,39.71,0.002969026565551758,0.003648996353149414
Hepar2,"I(THepatitis,proteins,amylase)",147,70,47.62,0.00549006462097168,0.012412071228027344
Hepar2,"I(irregular_liver,hcv_anti,phosphatase)",119,66,55.46,0.0062999725341796875,0.008469104766845703
Hepar2,"I(spiders,triglycerides,albumin)",115,56,48.70,0.004380941390991211,0.0072710514068603516
Hepar2,"I(spleen,le_cells,pressure_ruq)",120,61,50.83,0.0046579837799072266,0.012030839920043945
Hepar2,"I(triglycerides,Cirrhosis,PBC)",103,47,45.63,0.0044498443603515625,0.005720853805541992
Hepar2,"I(spiders,ast,cholesterol)",140,79,56.43,0.0063359737396240234,0.011296987533569336
Hepar2,"I(albumin,RHepatitis,nausea)",111,54,48.65,0.003996849060058594,0.007969141006469727
Hepar2,"I(hbsag_anti,cholesterol,flatulence)",126,58,46.03,0.0057849884033203125,0.007668018341064453
Hepar2,"I(diabetes,amylase,hepatotoxic)",36,2,5.56,0.0018999576568603516,0.0003910064697265625
Hepar2,"I(surgery,bleeding,alcohol)",147,86,58.50,0.007224082946777344,0.012642860412597656
Hepar2,"I(anorexia,inr,spiders)",146,76,52.05,0.007152080535888672,0.01231694221496582
Hepar2,"I(hepatomegaly,hbeag,jaundice)",81,43,53.09,0.0037021636962890625,0.008427858352661133
Hepar2,"I(jaundice,pain,hbsag_anti)",139,85,61.15,0.0067059993743896484,0.011287927627563477
Hepar2,"I(nausea,fat,edge)",60,21,35.00,0.0025589466094970703,0.00481104850769043
Hepar2,"I(spleen,hbeag,THepatitis)",128,69,53.91,0.0049610137939453125,0.010100126266479492
Hepar2,"I(obesity,proteins,spleen)",126,68,53.97,0.0050890445709228516,0.00896000862121582
Hepar2,"I(alcoholism,pain,hbeag)",45,1,2.22,0.0021588802337646484,0.001177072525024414
Hepar2,"I(phosphatase,hcv_anti,hbsag)",122,71,58.20,0.0050008296966552734,0.010136127471923828
Hepar2,"I(alcoholism,hepatomegaly,hbsag)",92,30,32.61,0.003876924514770508,0.005085945129394531
Hepar2,"I(diabetes,le_cells,PBC)",36,2,5.56,0.002090930938720703,0.0005869865417480469
Hepar2,"I(itching,Hyperbilirubinemia,bleeding)",134,83,61.94,0.004951000213623047,0.010263919830322266
Hepar2,"I(edge,itching,Cirrhosis)",155,91,58.71,0.00687098503112793,0.011095046997070312
Hepar2,"I(irregular_liver,choledocholithotomy,ESR)",103,46,44.66,0.003735065460205078,0.006988048553466797
Hepar2,"I(alt,injections,spleen)",107,59,55.14,0.004979848861694336,0.012418031692504883
Hepar2,"I(encephalopathy,ChHepatitis,anorexia)",95,52,54.74,0.004203081130981445,0.0074310302734375
Hepar2,"I(injections,consciousness,hbc_anti)",164,92,56.10,0.006185054779052734,0.009829998016357422
Hepar2,"I(proteins,RHepatitis,anorexia)",112,55,49.11,0.0040378570556640625,0.008017778396606445
Hepar2,"I(edge,carcinoma,platelet)",149,84,56.38,0.0059261322021484375,0.009835004806518555
Hepar2,"I(hbsag_anti,density,le_cells)",155,92,59.35,0.006288051605224609,0.010304927825927734
Hepar2,"I(anorexia,platelet,hepatomegaly)",171,96,56.14,0.006259918212890625,0.01226186752319336
Hepar2,"I(itching,hbc_anti,injections)",138,80,57.97,0.007425069808959961,0.011780023574829102
Hepar2,"I(transfusion,edge,consciousness)",134,71,52.99,0.0050868988037109375,0.008592844009399414
Hepar2,"I(encephalopathy,hepatomegaly,spleen)",153,92,60.13,0.005707979202270508,0.013032197952270508
Hepar2,"I(hbc_anti,fat,palms)",67,35,52.24,0.004575967788696289,0.005922079086303711
Hepar2,"I(hcv_anti,PBC,edge)",66,34,51.52,0.004176139831542969,0.006877899169921875
Hepar2,"I(jaundice,spiders,joints)",144,84,58.33,0.006373167037963867,0.011186838150024414
Hepar2,"I(anorexia,itching,hbeag)",175,101,57.71,0.0075380802154541016,0.013428926467895508
Hepar2,"I(irregular_liver,itching,pain)",155,93,60.00,0.006899833679199219,0.0119171142578125
Hepar2,"I(spleen,inr,upper_pain)",152,84,55.26,0.007250070571899414,0.011982917785644531
Hepar2,"I(hepatomegaly,consciousness,albumin)",164,98,59.76,0.0068700313568115234,0.013049125671386719
Hepar2,"I(choledocholithotomy,RHepatitis,PBC)",57,7,12.28,0.002763986587524414,0.001583099365234375
Hepar2,"I(jaundice,spleen,irregular_liver)",159,95,59.75,0.008040904998779297,0.013637065887451172
Hepar2,"I(alcoholism,pressure_ruq,hbsag_anti)",45,1,2.22,0.0024871826171875,0.0015289783477783203
Hepar2,"I(ast,edge,cholesterol)",114,66,57.89,0.005363941192626953,0.011399030685424805
Hepar2,"I(transfusion,Hyperbilirubinemia,le_cells)",59,12,20.34,0.0035331249237060547,0.0025360584259033203
Hepar2,"I(surgery,diabetes,bilirubin)",47,20,42.55,0.0021789073944091797,0.0041429996490478516
Hepar2,"I(ESR,irregular_liver,vh_amn)",143,81,56.64,0.005609035491943359,0.009834051132202148
Hepar2,"I(upper_pain,fatigue,density)",112,58,51.79,0.005195140838623047,0.00854802131652832
Hepar2,"I(anorexia,ESR,hospital)",158,67,42.41,0.0061910152435302734,0.009449005126953125
Hepar2,"I(edge,RHepatitis,hbsag_anti)",111,56,50.45,0.004161834716796875,0.007018089294433594
Hepar2,"I(alcoholism,spleen,fibrosis)",131,66,50.38,0.005638837814331055,0.01071619987487793
Hepar2,"I(Hyperbilirubinemia,encephalopathy,cholesterol)",160,87,54.37,0.00559687614440918,0.010751962661743164
Hepar2,"I(alcohol,spiders,hbeag)",125,68,54.40,0.005115985870361328,0.007901906967163086
Hepar2,"I(age,bilirubin,skin)",151,81,53.64,0.0071868896484375,0.014044046401977539
Hepar2,"I(albumin,ascites,injections)",128,69,53.91,0.005357027053833008,0.008400917053222656
Hepar2,"I(alt,fat,age)",104,54,51.92,0.004528045654296875,0.009750127792358398
Hepar2,"I(encephalopathy,hepatotoxic,edema)",131,70,53.44,0.0046100616455078125,0.008893013000488281
Hepar2,"I(bilirubin,Steatosis,flatulence)",111,64,57.66,0.004372119903564453,0.012248039245605469
Hepar2,"I(inr,triglycerides,hbsag)",130,69,53.08,0.0066339969635009766,0.010298013687133789
Hepar2,"I(encephalopathy,urea,proteins)",149,88,59.06,0.005962848663330078,0.010278940200805664
Hepar2,"I(fatigue,spleen,ast)",119,70,58.82,0.005777835845947266,0.010540008544921875
Hepar2,"I(itching,bilirubin,hospital)",2,2,100.00,0.0017020702362060547,0.0032911300659179688
Hepar2,"I(phosphatase,ggtp,spiders)",152,89,58.55,0.0065860748291015625,0.012609004974365234
Hepar2,"I(pain,diabetes,alt)",44,15,34.09,0.0016560554504394531,0.0030128955841064453
Hepar2,"I(joints,consciousness,gallstones)",161,90,55.90,0.007440090179443359,0.010735034942626953
Hepar2,"I(alcohol,pressure_ruq,Steatosis)",148,75,50.68,0.0054950714111328125,0.009256124496459961
Hepar2,"I(hbsag,bleeding,sex)",140,84,60.00,0.007300138473510742,0.012163877487182617
Hepar2,"I(fibrosis,pain_ruq,pressure_ruq)",74,24,32.43,0.003457784652709961,0.004748821258544922
Hepar2,"I(alcohol,bleeding,pain_ruq)",168,103,61.31,0.007277011871337891,0.01325082778930664
Hepar2,"I(THepatitis,hbeag,transfusion)",58,5,8.62,0.0025701522827148438,0.002650022506713867
Hepar2,"I(spiders,ggtp,hbsag_anti)",166,92,55.42,0.006587982177734375,0.012629032135009766
Hepar2,"I(triglycerides,nausea,palms)",72,32,44.44,0.002955913543701172,0.005583047866821289
Hepar2,"I(hepatomegaly,diabetes,alcohol)",79,32,40.51,0.0032320022583007812,0.006438016891479492
Hepar2,"I(spleen,THepatitis,ESR)",120,63,52.50,0.004456996917724609,0.009112119674682617
Hepar2,"I(hepatotoxic,upper_pain,ChHepatitis)",15,2,13.33,0.0008270740509033203,0.0011069774627685547
Hepar2,"I(density,phosphatase,joints)",161,96,59.63,0.007209062576293945,0.01370096206665039
Hepar2,"I(edema,Steatosis,THepatitis)",94,44,46.81,0.003729104995727539,0.006109952926635742
Hepar2,"I(alcohol,density,proteins)",155,90,58.06,0.006288051605224609,0.010286092758178711
Hepar2,"I(encephalopathy,pressure_ruq,anorexia)",139,83,59.71,0.0057830810546875,0.010864973068237305
Hepar2,"I(itching,pressure_ruq,joints)",141,83,58.87,0.005789041519165039,0.010776996612548828
Hepar2,"I(le_cells,transfusion,itching)",42,17,40.48,0.002001047134399414,0.003960132598876953
Hepar2,"I(spiders,THepatitis,carcinoma)",121,59,48.76,0.004177093505859375,0.008024930953979492
Hepar2,"I(itching,ast,edema)",159,95,59.75,0.007255077362060547,0.013994932174682617
Hepar2,"I(amylase,upper_pain,fatigue)",56,13,23.21,0.002385854721069336,0.002825021743774414
Hepar2,"I(Hyperbilirubinemia,amylase,hcv_anti)",35,4,11.43,0.0015308856964111328,0.001917123794555664
Hepar2,"I(PBC,fat,transfusion)",41,10,24.39,0.0017960071563720703,0.0021300315856933594
Hepar2,"I(ascites,alcoholism,palms)",109,54,49.54,0.0042231082916259766,0.007196903228759766
Hepar2,"I(hbc_anti,hepatotoxic,spleen)",66,35,53.03,0.0031359195709228516,0.005866050720214844
Hepar2,"I(THepatitis,cholesterol,choledocholithotomy)",156,61,39.10,0.0065000057220458984,0.01010894775390625
Hepar2,"I(hbc_anti,edema,pain)",127,66,51.97,0.005312204360961914,0.00831294059753418
Hepar2,"I(pressure_ruq,pain_ruq,fat)",134,55,41.04,0.0051898956298828125,0.008047103881835938
Hepar2,"I(ChHepatitis,fatigue,proteins)",109,53,48.62,0.0047299861907958984,0.008330106735229492
Hepar2,"I(upper_pain,albumin,edema)",137,67,48.91,0.005083799362182617,0.008107185363769531
Hepar2,"I(Steatosis,inr,injections)",159,82,51.57,0.006670951843261719,0.010779142379760742
Hepar2,"I(hepatalgia,hbc_anti,hcv_anti)",82,24,29.27,0.0038089752197265625,0.00598597526550293
Hepar2,"I(spleen,alcoholism,edema)",118,59,50.00,0.004149913787841797,0.008878946304321289
Hepar2,"I(obesity,Hyperbilirubinemia,itching)",38,20,52.63,0.002101898193359375,0.003957986831665039
Hepar2,"I(pressure_ruq,THepatitis,platelet)",92,46,50.00,0.0037071704864501953,0.008188009262084961
Hepar2,"I(fibrosis,age,injections)",74,22,29.73,0.0039598941802978516,0.004739999771118164
Hepar2,"I(carcinoma,gallstones,spiders)",121,57,47.11,0.004536867141723633,0.008054971694946289
Hepar2,"I(inr,surgery,hbsag)",126,65,51.59,0.005054950714111328,0.011980056762695312
Hepar2,"I(skin,hbeag,RHepatitis)",138,80,57.97,0.0054209232330322266,0.011475086212158203
Hepar2,"I(skin,spleen,ggtp)",159,99,62.26,0.007942914962768555,0.0125579833984375
Hepar2,"I(transfusion,upper_pain,pain)",60,13,21.67,0.0027420520782470703,0.0017380714416503906
Hepar2,"I(ESR,ast,le_cells)",141,82,58.16,0.007093906402587891,0.014364004135131836
Hepar2,"I(nausea,THepatitis,le_cells)",61,11,18.03,0.0031211376190185547,0.0025739669799804688
Hepar2,"I(gallstones,irregular_liver,fibrosis)",136,66,48.53,0.005602121353149414,0.007416963577270508
Hepar2,"I(le_cells,PBC,age)",2,2,100.00,0.0002548694610595703,0.00042510032653808594
Hepar2,"I(edema,pressure_ruq,platelet)",148,79,53.38,0.007678031921386719,0.010879993438720703
Hepar2,"I(Steatosis,fibrosis,Hyperbilirubinemia)",53,9,16.98,0.0027589797973632812,0.001968860626220703
Hepar2,"I(flatulence,injections,ESR)",62,19,30.65,0.0029489994049072266,0.002974987030029297
Hepar2,"I(alt,le_cells,hepatotoxic)",103,53,51.46,0.004588127136230469,0.00991201400756836
