name,test,d-sep,i-sep,saving,dSepTime,iSepTime
Munin,"I(R_APB_NMT,L_MEDD2_DISP_WD,L_MEDD2_ALLCV_EW)",815,106,13.01,0.2552330493927002,0.16236209869384766
Munin,"I(R_LNLT1_APB_NEUR_ACT,L_LNLE_ULND5_SALOSS,R_LNL_DIFFN_APB_DE_REGEN)",5,1,20.00,0.003276824951171875,0.009173870086669922
Munin,"I(R_ULND5_LSLOW_WD,L_ADM_QUAL_MUPAMP,L_LNLLP_APB_DE_REGEN)",19,11,57.89,0.02880120277404785,0.03055882453918457
Munin,"I(R_LNLPC5_DIFFN_DELT_DENERV,R_ADM_NMT,R_APB_MUPINSTAB)",821,120,14.62,0.2693958282470703,0.16739988327026367
Munin,"I(L_AXIL_LAT_ED,L_DIFFN_APB_MALOSS,R_ULND5_BLOCK_E)",749,61,8.14,0.23263907432556152,0.11607098579406738
Munin,"I(R_MYOP_APB_DENERV,R_DIFFN_APB_NEUR_ACT,R_OTHER_ULND5_DIFSLOW)",7,1,14.29,0.007299900054931641,0.0040891170501708984
Munin,"I(L_MEDD2_AMPR_EW,L_DELT_MUPSATEL,L_MUSCLE_ADM_MUSIZE)",810,97,11.98,0.2732841968536377,0.14900898933410645
Munin,"I(R_LNLT1_APB_MUDENS,L_DELT_DENERV,L_LNLW_ADM_DE_REGEN)",6,1,16.67,0.021487951278686523,0.017843961715698242
Munin,"I(R_MUSCLE_DELT_MUSIZE,R_MYOP_MYDY_APB_MUSIZE,R_MEDD2_EFFAXLOSS)",26,8,30.77,0.01137685775756836,0.01594996452331543
Munin,"I(L_ULN_DIFSLOW_WA,L_APB_MUPSATEL,R_LNLT1_LP_APB_DENERV)",821,87,10.60,0.2747330665588379,0.12836790084838867
Munin,"I(L_APB_QUAN_MUPDUR,R_LNLC8_ADM_MUSIZE,R_LNLT1_LP_BE_APB_MUSIZE)",800,113,14.12,0.24965906143188477,0.15279102325439453
Munin,"I(L_ULND5_DIFSLOW_WD,R_ULND5_ALLCV_WD,R_LNLW_MEDD2_DISP_WD)",868,110,12.67,0.2826220989227295,0.12668895721435547
Munin,"I(R_ADM_QUAN_MUPDUR,L_MEDD2_DISP_WD,L_MYOP_ADM_DE_REGEN)",870,156,17.93,0.2782020568847656,0.19787192344665527
Munin,"I(R_ADM_NMT,R_LNLBE_MEDD2_SALOSS_EW,L_LNLC8_ADM_MALOSS)",781,72,9.22,0.2491161823272705,0.1346278190612793
Munin,"I(R_LNLLP_ADM_NEUR_ACT,L_APB_DENERV,R_SUR_BLOCK_CA)",6,1,16.67,0.021602153778076172,0.023375988006591797
Munin,"I(L_AXIL_BLOCK_ED,L_MED_AMP_WA,R_APB_MUPAMP)",875,227,25.94,0.3017239570617676,0.23478102684020996
Munin,"I(R_ULN_LD_EW,L_ULND5_AMPR_EW,L_OTHER_DELT_MUSIZE)",122,8,6.56,0.052351951599121094,0.027439117431640625
Munin,"I(L_MYAS_ADM_NMT,R_AXIL_LAT_ED,R_ULND5_AMP_WD)",30,1,3.33,0.018858909606933594,0.021190166473388672
Munin,"I(L_ULND5_DSLOW_EW,L_OTHER_ADM_MUSIZE,L_APB_MUPDUR)",773,81,10.48,0.2406148910522461,0.13177704811096191
Munin,"I(R_DIFFN_ULND5_BLOCK,R_MYAS_ADM_NMT,L_APB_SPONT_NEUR_DISCH)",709,19,2.68,0.21491193771362305,0.07551193237304688
Munin,"I(L_ULN_BLOCK_E,R_LNLT1_APB_DENERV,DIFFN_TYPE)",744,28,3.76,0.235731840133667,0.07695698738098145
Munin,"I(R_MEDD2_BLOCK_WD,R_ADM_SPONT_INS_ACT,L_MUSCLE_ADM_DENERV)",894,195,21.81,0.31491994857788086,0.22062397003173828
Munin,"I(L_DELT_REPSTIM_POST_DECR,L_OTHER_ULND5_SALOSS,R_LNLLP_ADM_DE_REGEN)",751,60,7.99,0.266948938369751,0.10130906105041504
Munin,"I(R_LNLE_ADM_DENERV,R_MYAS_DE_REGEN_ADM_NMT,R_DELT_QUAL_MUPAMP)",806,118,14.64,0.2634999752044678,0.1541450023651123
Munin,"I(R_MYOP_MYDY_DELT_DE_REGEN,R_ULN_DCV_EW,R_ULN_RDLDCV_E)",39,4,10.26,0.024333953857421875,0.016476154327392578
Munin,"I(L_LNLE_ULND5_BLOCK_E,L_LNLBE_MEDD2_DISP_EW,L_ADM_MUPAMP)",123,36,29.27,0.04452395439147949,0.05524587631225586
Munin,"I(R_LNLW_ULND5_LD_WD,R_ULN_AMPR_E,R_DIFFN_ULND5_BLOCK)",5,1,20.00,0.006393909454345703,0.010552167892456055
Munin,"I(L_APB_QUAN_MUPAMP,R_DIFFN_LNLW_APB_DE_REGEN,R_DIFFN_LNLW_APB_NEUR_ACT)",831,142,17.09,0.2776169776916504,0.17350006103515625
Munin,"I(R_LNLPC5_DIFFN_DELT_MUDENS,L_SUR_ALLCV_CA,R_DIFFN_LNL_ISCH_SALOSS)",766,81,10.57,0.2494661808013916,0.12233400344848633
Munin,"I(L_APB_REPSTIM_DECR,R_LNLLP_ADM_MUSIZE,L_MYOP_MYDY_APB_MUDENS)",766,64,8.36,0.2397141456604004,0.12705302238464355
Munin,"I(L_AXIL_BLOCK_ED,L_APB_QUAL_MUPPOLY,R_MED_ALLCV_EW)",838,162,19.33,0.2904479503631592,0.18872880935668945
Munin,"I(R_LNL_DIFFN_APB_DENERV,L_LNLW_ADM_DENERV,R_LNLE_ADM_NEUR_ACT)",747,35,4.69,0.24081110954284668,0.09831905364990234
Munin,"I(R_LNLE_ADM_DE_REGEN,L_ADM_REPSTIM_FACILI,L_DELT_MUDENS)",123,9,7.32,0.05257391929626465,0.03660893440246582
Munin,"I(L_MYDY_APB_MUDENS,R_DELT_MUSIZE,L_SUR_LD_CA)",5,1,20.00,0.010947942733764648,0.009479999542236328
Munin,"I(L_LNLE_ULND5_LD_E,R_ULND5_BLOCK_WD,R_DELT_SF_JITTER)",123,8,6.50,0.050293922424316406,0.0316619873046875
Munin,"I(R_OTHER_ADM_DENERV,R_LNLT1_APB_NEUR_ACT,L_OTHER_ULND5_DIFSLOW)",7,1,14.29,0.003887176513671875,0.0023288726806640625
Munin,"I(L_OTHER_ADM_DENERV,R_ULND5_AMPR_E,L_DELT_REPSTIM_CMAPAMP)",7,1,14.29,0.01572704315185547,0.04154205322265625
Munin,"I(R_LNLPC5_DIFFN_DELT_MALOSS,L_ADM_NEUR_ACT,L_SUR_LD_CA)",839,68,8.10,0.255450963973999,0.12169289588928223
Munin,"I(L_ULN_ALLDEL_WA,L_OTHER_DELT_MUSIZE,R_LNLT1_LP_BE_APB_MUDENS)",785,62,7.90,0.24701595306396484,0.11110401153564453
Munin,"I(R_APB_MUSIZE,R_MYDY_DELT_MUDENS,R_DIFFN_LNLW_ADM_MALOSS)",753,45,5.98,0.24176979064941406,0.10881686210632324
Munin,"I(R_ADM_MUSIZE,R_MED_LAT_WA,L_ULND5_DIFSLOW_EW)",855,128,14.97,0.2878150939941406,0.18955588340759277
Munin,"I(R_MEDD2_DSLOW_WD,R_LNLT1_LP_APB_MUSIZE,R_MEDD2_ALLAMP_WD)",744,53,7.12,0.2845170497894287,0.10929012298583984
Munin,"I(R_ADM_SPONT_INS_ACT,L_LNL_ISCH_SALOSS_CA,R_ADM_MULOSS)",816,134,16.42,0.26897192001342773,0.16097497940063477
Munin,"I(R_LNLBE_APB_MUSIZE,L_DELT_FORCE,L_LNLW_MEDD2_RD_WD)",20,1,5.00,0.0354769229888916,0.026803016662597656
Munin,"I(L_DIFFN_ULND5_DISP,R_LNLT1_APB_MUSIZE,R_OTHER_ISCH_DIFSLOW)",708,12,1.69,0.2158510684967041,0.05255913734436035
Munin,"I(L_ADM_SPONT_NEUR_DISCH,L_MED_CV_EW,L_DIFFN_ISCH_BLOCK)",816,111,13.60,0.2728288173675537,0.1490018367767334
Munin,"I(L_ULN_ALLCV_EW,L_MYAS_APB_MUDENS,L_LNLW_APB_MALOSS)",780,53,6.79,0.24355077743530273,0.09910798072814941
Munin,"I(R_LNLLP_APB_MALOSS,L_ULND5_ALLCV_EW,R_DELT_SF_DENSITY)",17,1,5.88,0.016395092010498047,0.03348898887634277
Munin,"I(L_DELT_QUAL_MUPPOLY,L_DIFFN_MED_BLOCK,L_MYAS_OTHER_ADM_MUDENS)",777,113,14.54,0.25154995918273926,0.149522066116333
Munin,"I(R_AXIL_DIFSLOW_ED,L_MED_DCV_WA,R_ULND5_DISP_EED)",794,90,11.34,0.24865007400512695,0.1426379680633545
Munin,"I(R_OTHER_ISCH_DISP,L_DELT_SPONT_NEUR_DISCH,L_ULND5_CV_WD)",4,1,25.00,0.0067980289459228516,0.021624088287353516
Munin,"I(R_MYOP_DELT_DENERV,R_LNLW_MEDD2_SALOSS_WD,L_ULND5_BLOCK_WD)",7,1,14.29,0.0039370059967041016,0.006386995315551758
Munin,"I(R_DELT_FORCE,R_ULN_LD_WA,R_LNLBE_APB_DE_REGEN)",805,134,16.65,0.26030898094177246,0.14549612998962402
Munin,"I(R_LNLE_ULND5_RD_E,R_DIFFN_ULN_DIFSLOW,L_ULND5_DISP_E)",116,6,5.17,0.04144692420959473,0.017824172973632812
Munin,"I(R_DIFFN_ULND5_DISP,L_MEDD2_DIFSLOW_WD,L_LNLLP_APB_MUSIZE)",720,28,3.89,0.22973394393920898,0.06116890907287598
Munin,"I(R_MYDY_ADM_DE_REGEN,R_MEDD2_DISP_EW,R_LNLT1_APB_DENERV)",36,1,2.78,0.01999497413635254,0.004817008972167969
Munin,"I(L_LNLW_APB_NEUR_ACT,L_LNLE_ADM_DENERV,L_ADM_QUAN_MUPPOLY)",97,4,4.12,0.036875009536743164,0.03817296028137207
Munin,"I(R_DIFFN_DELT_MUSIZE,R_DIFFN_DELT_DE_REGEN,L_SUR_ALLAMP_CA)",700,40,5.71,0.2211298942565918,0.08794021606445312
Munin,"I(R_OTHER_ADM_NMT,L_MED_DIFSLOW_WA,R_LNL_DIFFN_APB_DENERV)",29,1,3.45,0.014801025390625,0.013506889343261719
