name,test,d-sep,i-sep,saving,dSepTime,iSepTime
Alarm,"I(HISTORY,MINVOLSET,ARTCO2)",9,3,33.33,0.0003619194030761719,0.00048804283142089844
Alarm,"I(ANAPHYLAXIS,STROKEVOLUME,CO)",10,5,50.00,0.00037407875061035156,0.0011401176452636719
Alarm,"I(PVSAT,HRBP,SAO2)",77,62,80.52,0.002804994583129883,0.0035619735717773438
Alarm,"I(ERRLOWOUTPUT,SHUNT,HYPOVOLEMIA)",2,1,50.00,0.00018405914306640625,0.0001900196075439453
Alarm,"I(VENTTUBE,CO,VENTLUNG)",89,71,79.78,0.0030159950256347656,0.0035109519958496094
Alarm,"I(PCWP,VENTMACH,STROKEVOLUME)",13,11,84.62,0.00044608116149902344,0.0005719661712646484
Alarm,"I(ANAPHYLAXIS,PCWP,STROKEVOLUME)",10,2,20.00,0.0004420280456542969,0.0003609657287597656
Alarm,"I(HRBP,LVFAILURE,HRSAT)",60,47,78.33,0.0017590522766113281,0.0029938220977783203
Alarm,"I(CATECHOL,PAP,HYPOVOLEMIA)",54,41,75.93,0.0016460418701171875,0.0029418468475341797
Alarm,"I(DISCONNECT,LVEDVOLUME,PAP)",18,1,5.56,0.0006279945373535156,0.00023412704467773438
Alarm,"I(MINVOL,PRESS,HR)",38,31,81.58,0.0012850761413574219,0.002218961715698242
Alarm,"I(MINVOLSET,HYPOVOLEMIA,TPR)",19,2,10.53,0.0006670951843261719,0.0002219676971435547
Alarm,"I(HISTORY,HYPOVOLEMIA,MINVOL)",9,3,33.33,0.00032806396484375,0.0004718303680419922
Alarm,"I(HYPOVOLEMIA,SAO2,TPR)",7,1,14.29,0.0006048679351806641,0.0005710124969482422
Alarm,"I(HREKG,PVSAT,KINKEDTUBE)",64,49,76.56,0.0020639896392822266,0.003206014633178711
Alarm,"I(FIO2,PRESS,HREKG)",10,6,60.00,0.0004899501800537109,0.0014579296112060547
Alarm,"I(CVP,INSUFFANESTH,LVFAILURE)",13,10,76.92,0.0004189014434814453,0.0006170272827148438
Alarm,"I(BP,TPR,ARTCO2)",67,51,76.12,0.0018529891967773438,0.0035881996154785156
Alarm,"I(ARTCO2,HRSAT,ERRLOWOUTPUT)",75,60,80.00,0.0026950836181640625,0.003545999526977539
Alarm,"I(HR,VENTTUBE,LVFAILURE)",50,34,68.00,0.0015060901641845703,0.002547025680541992
Alarm,"I(HYPOVOLEMIA,BP,PULMEMBOLUS)",86,69,80.23,0.0033669471740722656,0.0039000511169433594
Alarm,"I(CATECHOL,DISCONNECT,ARTCO2)",53,40,75.47,0.001428842544555664,0.002473115921020508
Alarm,"I(PCWP,INTUBATION,PRESS)",13,10,76.92,0.000415802001953125,0.0007541179656982422
Alarm,"I(SHUNT,HYPOVOLEMIA,HRSAT)",25,16,64.00,0.0007801055908203125,0.0015749931335449219
Alarm,"I(KINKEDTUBE,HISTORY,INSUFFANESTH)",17,1,5.88,0.0005180835723876953,0.00019097328186035156
Alarm,"I(LVEDVOLUME,BP,TPR)",88,75,85.23,0.0034499168395996094,0.003961086273193359
Alarm,"I(PRESS,PCWP,HRBP)",31,23,74.19,0.0009248256683349609,0.0027620792388916016
Alarm,"I(PVSAT,ANAPHYLAXIS,KINKEDTUBE)",39,22,56.41,0.0014522075653076172,0.0016307830810546875
Alarm,"I(ANAPHYLAXIS,CO,ARTCO2)",84,66,78.57,0.003422975540161133,0.004247188568115234
Alarm,"I(LVEDVOLUME,CO,ARTCO2)",87,72,82.76,0.0033049583435058594,0.0038018226623535156
Alarm,"I(VENTTUBE,FIO2,ARTCO2)",25,11,44.00,0.0008258819580078125,0.0008549690246582031
Alarm,"I(PAP,CO,VENTTUBE)",90,71,78.89,0.0031239986419677734,0.0034389495849609375
Alarm,"I(CATECHOL,SAO2,MINVOL)",62,51,82.26,0.0019311904907226562,0.003229856491088867
Alarm,"I(HYPOVOLEMIA,VENTTUBE,HRSAT)",7,1,14.29,0.0005970001220703125,0.001522064208984375
Alarm,"I(HREKG,HRSAT,HYPOVOLEMIA)",75,62,82.67,0.003261089324951172,0.004388093948364258
Alarm,"I(KINKEDTUBE,VENTLUNG,HRSAT)",34,25,73.53,0.0012028217315673828,0.0019450187683105469
Alarm,"I(DISCONNECT,HR,HISTORY)",69,60,86.96,0.0025119781494140625,0.002894878387451172
Alarm,"I(HR,CATECHOL,MINVOLSET)",7,2,28.57,0.0007510185241699219,0.0016450881958007812
Alarm,"I(HRSAT,TPR,MINVOL)",57,45,78.95,0.0015687942504882812,0.0029261112213134766
Alarm,"I(ERRCAUTER,PAP,ANAPHYLAXIS)",3,1,33.33,0.0001690387725830078,0.0002040863037109375
Alarm,"I(PAP,MINVOL,TPR)",12,3,25.00,0.000743865966796875,0.0006291866302490234
Alarm,"I(ERRLOWOUTPUT,STROKEVOLUME,ARTCO2)",2,1,50.00,0.00017690658569335938,0.0004680156707763672
Alarm,"I(FIO2,LVFAILURE,CO)",10,6,60.00,0.0003612041473388672,0.00113677978515625
Alarm,"I(MINVOL,INSUFFANESTH,PVSAT)",35,20,57.14,0.0012090206146240234,0.001435995101928711
Alarm,"I(BP,CATECHOL,PULMEMBOLUS)",73,60,82.19,0.01098012924194336,0.004084110260009766
Alarm,"I(VENTMACH,ARTCO2,STROKEVOLUME)",42,25,59.52,0.001413106918334961,0.0013370513916015625
Alarm,"I(HREKG,CATECHOL,INTUBATION)",9,5,55.56,0.0009429454803466797,0.001867055892944336
Alarm,"I(HRSAT,EXPCO2,PAP)",65,52,80.00,0.0022029876708984375,0.0032548904418945312
Alarm,"I(INSUFFANESTH,MINVOLSET,ARTCO2)",8,1,12.50,0.00026607513427734375,0.0003769397735595703
Alarm,"I(PVSAT,PAP,BP)",39,30,76.92,0.0010678768157958984,0.002727985382080078
Alarm,"I(VENTLUNG,PAP,HYPOVOLEMIA)",31,12,38.71,0.001013040542602539,0.0009670257568359375
Alarm,"I(CO,VENTMACH,SHUNT)",65,46,70.77,0.0018010139465332031,0.004229068756103516
Alarm,"I(ARTCO2,KINKEDTUBE,ANAPHYLAXIS)",38,19,50.00,0.0014340877532958984,0.001692056655883789
Alarm,"I(CATECHOL,HREKG,PAP)",73,58,79.45,0.0035529136657714844,0.004119157791137695
Alarm,"I(ANAPHYLAXIS,CVP,LVFAILURE)",10,2,20.00,0.00043892860412597656,0.0003070831298828125
Alarm,"I(VENTLUNG,HR,VENTMACH)",68,59,86.76,0.0027098655700683594,0.0033860206604003906
Alarm,"I(TPR,EXPCO2,HISTORY)",13,3,23.08,0.0006940364837646484,0.0008118152618408203
Alarm,"I(HR,TPR,LVEDVOLUME)",55,39,70.91,0.001461029052734375,0.0025129318237304688
Alarm,"I(INTUBATION,MINVOLSET,TPR)",20,1,5.00,0.0005409717559814453,0.00026702880859375
Alarm,"I(ANAPHYLAXIS,PRESS,MINVOLSET)",10,2,20.00,0.0005099773406982422,0.00037789344787597656
Alarm,"I(PULMEMBOLUS,ANAPHYLAXIS,STROKEVOLUME)",11,2,18.18,0.0003628730773925781,0.000244140625
Alarm,"I(LVFAILURE,CO,TPR)",85,66,77.65,0.003058910369873047,0.0032951831817626953
Alarm,"I(LVEDVOLUME,HRBP,ERRLOWOUTPUT)",12,9,75.00,0.0013301372528076172,0.0013959407806396484
Alarm,"I(DISCONNECT,HRSAT,HR)",80,65,81.25,0.002908945083618164,0.0038988590240478516
Alarm,"I(PAP,VENTTUBE,CATECHOL)",12,7,58.33,0.0006091594696044922,0.0012290477752685547
Alarm,"I(DISCONNECT,INSUFFANESTH,CATECHOL)",18,9,50.00,0.0005171298980712891,0.0012848377227783203
Alarm,"I(INSUFFANESTH,FIO2,HYPOVOLEMIA)",8,1,12.50,0.0002658367156982422,0.00015306472778320312
Alarm,"I(CATECHOL,SAO2,PCWP)",62,49,79.03,0.0019729137420654297,0.003306150436401367
Alarm,"I(INTUBATION,VENTMACH,CVP)",20,1,5.00,0.0008089542388916016,0.0003521442413330078
Alarm,"I(LVFAILURE,CO,HISTORY)",85,66,77.65,0.0031118392944335938,0.003261089324951172
Alarm,"I(LVFAILURE,CO,PULMEMBOLUS)",85,66,77.65,0.002768993377685547,0.003283977508544922
Alarm,"I(VENTTUBE,INTUBATION,HYPOVOLEMIA)",25,7,28.00,0.0008189678192138672,0.00048804283142089844
Alarm,"I(HISTORY,TPR,VENTTUBE)",9,3,33.33,0.0004200935363769531,0.0004000663757324219
Alarm,"I(PCWP,PVSAT,SHUNT)",13,10,76.92,0.0006699562072753906,0.0010139942169189453
Alarm,"I(KINKEDTUBE,ARTCO2,CO)",44,33,75.00,0.0012660026550292969,0.002290964126586914
Alarm,"I(EXPCO2,PAP,ERRLOWOUTPUT)",36,21,58.33,0.0010449886322021484,0.0013699531555175781
Alarm,"I(SAO2,LVFAILURE,INTUBATION)",43,29,67.44,0.001322031021118164,0.0018658638000488281
Alarm,"I(LVFAILURE,MINVOL,VENTALV)",8,2,25.00,0.0007290840148925781,0.0010678768157958984
Alarm,"I(HISTORY,CATECHOL,PCWP)",9,6,66.67,0.0010101795196533203,0.0010058879852294922
Alarm,"I(TPR,HRSAT,HYPOVOLEMIA)",75,59,78.67,0.0029828548431396484,0.0036308765411376953
Alarm,"I(ERRLOWOUTPUT,HYPOVOLEMIA,HR)",2,1,50.00,0.00010704994201660156,0.001077890396118164
Alarm,"I(SHUNT,PAP,VENTALV)",26,9,34.62,0.0006849765777587891,0.0009329319000244141
Alarm,"I(MINVOL,PRESS,SHUNT)",38,24,63.16,0.0014560222625732422,0.0012650489807128906
Alarm,"I(FIO2,SAO2,EXPCO2)",51,39,76.47,0.0017750263214111328,0.002184152603149414
Alarm,"I(INSUFFANESTH,ERRLOWOUTPUT,VENTTUBE)",8,1,12.50,0.00026488304138183594,0.00023412704467773438
Alarm,"I(HR,ARTCO2,VENTMACH)",61,45,73.77,0.001901865005493164,0.0029840469360351562
Alarm,"I(PAP,ERRCAUTER,PCWP)",12,3,25.00,0.0004000663757324219,0.0003230571746826172
Alarm,"I(HREKG,VENTTUBE,ARTCO2)",52,38,73.08,0.0014379024505615234,0.0030319690704345703
Alarm,"I(PVSAT,FIO2,LVFAILURE)",38,22,57.89,0.0011320114135742188,0.0013251304626464844
Alarm,"I(DISCONNECT,HR,PCWP)",69,60,86.96,0.0025348663330078125,0.002824068069458008
Alarm,"I(LVEDVOLUME,CATECHOL,HR)",12,9,75.00,0.0009090900421142578,0.0019478797912597656
Alarm,"I(ERRLOWOUTPUT,CO,LVEDVOLUME)",2,1,50.00,0.0007841587066650391,0.0008800029754638672
Alarm,"I(HR,MINVOLSET,VENTMACH)",56,39,69.64,0.0015981197357177734,0.002794981002807617
Alarm,"I(FIO2,MINVOL,MINVOLSET)",10,1,10.00,0.0005581378936767578,0.0003719329833984375
Alarm,"I(ERRCAUTER,CVP,KINKEDTUBE)",3,1,33.33,0.00021195411682128906,0.00025200843811035156
Alarm,"I(LVEDVOLUME,EXPCO2,TPR)",12,9,75.00,0.0006999969482421875,0.0010378360748291016
Alarm,"I(HR,PULMEMBOLUS,TPR)",57,40,70.18,0.0016350746154785156,0.002691984176635742
Alarm,"I(INSUFFANESTH,HREKG,LVFAILURE)",74,59,79.73,0.0028100013732910156,0.0031218528747558594
Alarm,"I(TPR,PCWP,PAP)",13,3,23.08,0.0004749298095703125,0.0004169940948486328
Alarm,"I(HR,CATECHOL,LVFAILURE)",7,2,28.57,0.0007550716400146484,0.0016689300537109375
Alarm,"I(ANAPHYLAXIS,HR,PULMEMBOLUS)",63,54,85.71,0.002504110336303711,0.0027840137481689453
Alarm,"I(LVFAILURE,HYPOVOLEMIA,CVP)",8,5,62.50,0.0002651214599609375,0.0003769397735595703
Alarm,"I(CVP,MINVOL,VENTTUBE)",13,10,76.92,0.0006899833679199219,0.0009150505065917969
Alarm,"I(LVEDVOLUME,HREKG,VENTTUBE)",12,9,75.00,0.0013158321380615234,0.001528024673461914
Alarm,"I(HRSAT,MINVOL,LVEDVOLUME)",64,51,79.69,0.0020689964294433594,0.003075838088989258
Alarm,"I(PAP,FIO2,ERRLOWOUTPUT)",12,3,25.00,0.00039505958557128906,0.00024700164794921875
Alarm,"I(KINKEDTUBE,HISTORY,PAP)",17,1,5.88,0.0005130767822265625,0.0002257823944091797
Alarm,"I(SHUNT,INTUBATION,DISCONNECT)",14,5,35.71,0.0004010200500488281,0.0003910064697265625
Alarm,"I(PRESS,VENTMACH,HREKG)",28,20,71.43,0.0009419918060302734,0.0019049644470214844
Alarm,"I(PRESS,LVEDVOLUME,VENTALV)",31,16,51.61,0.0011789798736572266,0.0010709762573242188
Alarm,"I(HRBP,PCWP,CVP)",60,45,75.00,0.0018510818481445312,0.0031669139862060547
Alarm,"I(BP,ARTCO2,HYPOVOLEMIA)",72,57,79.17,0.002174854278564453,0.0036079883575439453
